Designator,Mid X,Mid Y,Rotation,Layer
C1,172.595,-99.01,0.0,top
C2,241.12,-53.985,270.0,top
R1,176.082897,-95.380814,270.0,top
R2,187.62,-92.885,90.0,top
R3,189.62,-92.885,90.0,top
R4,191.62,-92.885,90.0,top
U1,169.7075,-96.11,270.0,top
