Comment,Designator,Footprint,LCSC
0.1u,"C_17,C_361,C_362",C_0402_1005Metric,C1525
4.7k,"R_PD1,R_SCL1,R_SDA1,R_alert1",R_0603_1608Metric,C23162
TMP36GT9Z,TMP36_9Z1,TO92127P521H733-3,C5692995
TMP36GRTZ-REEL7,TMP36_TZ1,SOT95P280X145-5N,C5692996
TMP117AIDRVR,TMP117,SON65P200X200X80-7N,C699536
Conn_01x04_Male,J_TMP36_TZ1,PinHeader_1x04_P2.54mm_Vertical,
Conn_01x02_Male,JP_ADD0,PinHeader_1x02_P2.54mm_Vertical,
Conn_01x05_Male,J_TMP117,PinHeader_1x05_P2.54mm_Vertical,
Conn_01x03_Male,J_TMP36_9Z1,PinHeader_1x03_P2.54mm_Vertical,
